time,freq,trans
1680287953.493825,7.115105006505473e-06,0.884500711191
1680287958.5506551,6.6873118953481026e-06,0.8920098477509211
1680287963.634415,3.5335395978108863e-06,0.8899216419068413
1680287968.74313,2.614978427573078e-06,0.8845960703721413
1680287973.8286576,3.157611615733913e-06,0.8860684817639181
1680287978.8718922,5.030955264828663e-06,0.8867990305709553
1680287983.9571426,4.176258130428323e-06,0.8881566876953828
1680287989.062626,4.893088771495968e-06,0.8866697299683802
1680287994.1148996,4.334181426202122e-06,0.8877089841254553
1680287999.1997797,5.326205837263842e-06,0.8855318839637358
1680288004.2800343,2.1382424506555253e-06,0.8844506071285142
1680288009.381951,7.818995300112874e-07,0.8889955258725973
1680288014.48306,2.495583657946554e-06,0.8845928378892068
1680288019.5873582,1.1803356301243184e-06,0.8869849003505387
1680288024.67636,1.4368951610777003e-06,0.8816787239466486
1680288029.7558343,9.097254860535031e-07,0.8856434058913717
1680288034.8504224,-6.896874538142583e-08,0.8840384613339513
1680288039.933636,8.799787565294537e-07,0.8855448141182783
1680288044.9903734,4.232933292769303e-07,0.8799978152476818
1680288050.0528934,3.8335144836310064e-08,0.882355936177495
1680288055.1623516,1.8556614804765559e-06,0.8863561757493759
1680288060.2662363,2.2443930447479943e-06,0.8814605291780735
1680288065.3166964,1.298668394156266e-06,0.8876540312414319
1680288070.400317,2.046053680260229e-06,0.8876701939295912
1680288075.4890313,2.0743511868204223e-06,0.8846283956057053
1680288080.5761423,1.720098396162939e-06,0.8874326038955174
1680288085.6681204,1.5793144712006324e-06,0.8881033511510572
1680288090.7625246,2.385269681326463e-06,0.8811211148589803
1680288095.8174894,1.7996085261984263e-06,0.8894028228958802
1680288100.9287975,2.8978930686207605e-06,0.8875198818261041
1680288106.0261023,1.4669398069599993e-06,0.8838509752907936
1680288111.089394,2.7290514026390156e-06,0.8853007592220808
1680288116.1796532,3.028828871265432e-06,0.8834808520880696
1680288121.2637103,4.082388670667569e-06,0.8893511027229755
1680288126.3426766,2.2865069126964954e-06,0.8909802911851032
1680288131.441967,4.256683155290375e-06,0.8812407179612365
1680288136.5420475,6.652106833371363e-06,0.8868054956592256
1680288141.5992043,5.632401780530927e-06,0.8853169216337843
1680288146.714975,6.800223900427227e-06,0.8890423973365763
1680288151.8155234,7.001681240126345e-06,0.8862139450483872
1680288156.918752,4.968914367964317e-06,0.8854591524175417
1680288162.0032732,6.054053358184319e-06,0.8806410860276265
1680288167.0876257,5.354520510536531e-06,0.884078867662332
1680288172.1740363,6.860604855774e-06,0.8896743543406153
1680288177.2655265,5.245594536518183e-06,0.8837960225489343
1680288182.3244474,6.436005321575067e-06,0.8839107768723647
1680288187.4281716,5.087625709165877e-06,0.8904857160984241
1680288192.4822695,7.284642947524844e-06,0.8845782915634277
1680288197.5689316,6.69234674433028e-06,0.883059008769601
1680288202.6587863,6.223919740477868e-06,0.8914716337767489
1680288207.7491693,-7.84264689173142e-05,0.0026173355924102824
1680288207.8259122,-7.746810598519005e-05,0.0025656153700073774
1680288207.9016826,-7.775031326673343e-05,0.002567231626958296
1680288207.9819865,-7.753863303605613e-05,0.0026044055368099313
1680288208.057907,-8.074478955677478e-05,0.0026060217937594345
1680288208.1368313,-8.361972254533612e-05,0.002581777939508717
1680288208.21648,-8.771401240892374e-05,0.002620568106310423
1680288208.2930984,-9.060188233434019e-05,0.0026334981619119072
1680288208.3695152,-9.366284132283909e-05,0.0026286493910599586
1680288208.4495006,-9.624671560004572e-05,0.0026060217937592723
1680288208.5283058,-9.86344190323507e-05,0.002641579446660717
1680288208.6045952,-0.00010147539478566614,0.0025882429673090767
1680288208.6837766,-0.00010491546657931394,0.0026157193354608217
1680288208.763674,-0.00010710483155662587,0.0026124868215599163
1680288208.8377619,-0.00010922937138957423,0.0026496607314117093
1680288208.9187846,-0.00011077585378416188,0.0026302656480101504
1680288208.9965765,-0.00011444299411778047,0.0026674395578617453
1680288209.0754197,-0.00011798669459039957,0.0026399631897101594
